,Company,Symbol,Profile,Summary,TFIDF_Summary,TFIDF_Rouge,T5_Rouge
52,Booking Holdings Inc.,BKNG,"Booking Holdings Inc., together with its subsidiaries, provides online and traditional travel and restaurant reservations and related services in the United States, the Netherlands, and internationally. The company operates Booking.com, which offers online accommodation reservations; and Priceline, which provides online travel reservation services, as well as consumers hotel, flight, activity, rental car reservation, vacation packages, cruises, and hotel distribution services. It also operates Agoda that offers online accommodation reservation, flight, ground transportation, and activities reservation services. In addition, the company operates KAYAK, an online meta-search service that allows consumers to search and compare travel itineraries and prices; OpenTable for booking online restaurant reservations, as well as reservation management services to restaurants; and Rentalcars.com. Further, it offers travel-related insurance products and restaurant management services to consumers, travel service providers, and restaurants; and advertising services. The company was formerly known as The Priceline Group Inc. and changed its name to Booking Holdings Inc. in February 2018. Booking Holdings Inc. was founded in 1997 and is headquartered in Norwalk, Connecticut.","Booking Holdings Inc., together with its subsidiaries, provides online and traditional travel and restaurant reservations and related services in the United States, the Netherlands, and internationally . The company was founded in 1997 and is headquartered in Norwalk, Connecticut.","In addition, the company operates KAYAK, an online meta-search service that allows consumers to search and compare travel itineraries and prices; OpenTable for booking online restaurant reservations, as well as reservation management services to restaurants; and Rentalcars.com. The company operates Booking.com, which offers online accommodation reservations; and Priceline, which provides online travel reservation services, as well as consumers hotel, flight, activity, rental car reservation, vacation packages, cruises, and hotel distribution services.","{'rouge1': Score(precision=1.0, recall=0.4327485380116959, fmeasure=0.6040816326530613), 'rouge2': Score(precision=0.9863013698630136, recall=0.4235294117647059, fmeasure=0.5925925925925926), 'rougeL': Score(precision=0.6081081081081081, recall=0.2631578947368421, fmeasure=0.3673469387755102)}","{'rouge1': Score(precision=1.0, recall=0.2222222222222222, fmeasure=0.3636363636363636), 'rouge2': Score(precision=1.0, recall=0.21764705882352942, fmeasure=0.357487922705314), 'rougeL': Score(precision=1.0, recall=0.2222222222222222, fmeasure=0.3636363636363636)}"
53,American Express Company,AXP,"American Express Company, together with its subsidiaries, operates as integrated payments company in the United States, Europe, the Middle East and Africa, the Asia Pacific, Australia, New Zealand, Latin America, Canada, the Caribbean, and Internationally. It operates through four segments: U.S. Consumer Services, Commercial Services, International Card Services, and Global Merchant and Network Services. The company's products and services include credit card, charge card, banking, and other payment and financing products; network services; expense management products and services; and travel and lifestyle services. It also provides merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. In addition, the company operates lounges at airports under Centurion Lounge brand name. It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, affiliate marketing, customer referral programs, third-party service providers and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York.","American Express Company, together with its subsidiaries, operates as integrated payments company in the United States, Europe, the Middle East and Africa . It operates through four segments: U.S. Consumer Services, Commercial Services, International Card Services, and Global Merchant and Network Services . The company's products and services include credit card, charge card, banking, and other payment and financing products .","It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, affiliate marketing, customer referral programs, third-party service providers and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company, together with its subsidiaries, operates as integrated payments company in the United States, Europe, the Middle East and Africa, the Asia Pacific, Australia, New Zealand, Latin America, Canada, the Caribbean, and Internationally.","{'rouge1': Score(precision=1.0, recall=0.40932642487046633, fmeasure=0.5808823529411764), 'rouge2': Score(precision=1.0, recall=0.40625, fmeasure=0.5777777777777777), 'rougeL': Score(precision=0.6329113924050633, recall=0.25906735751295334, fmeasure=0.3676470588235294)}","{'rouge1': Score(precision=1.0, recall=0.31088082901554404, fmeasure=0.4743083003952569), 'rouge2': Score(precision=0.9830508474576272, recall=0.3020833333333333, fmeasure=0.4621513944223108), 'rougeL': Score(precision=1.0, recall=0.31088082901554404, fmeasure=0.4743083003952569)}"
54,Applied Materials Inc,AMAT,"Applied Materials, Inc. engages in the provision of manufacturing equipment, services, and software to the semiconductor, display, and related industries. The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. It operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company was incorporated in 1967 and is headquartered in Santa Clara, California.","Applied Materials, Inc. operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets . The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits . The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets .","The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products.","{'rouge1': Score(precision=1.0, recall=0.35714285714285715, fmeasure=0.5263157894736842), 'rouge2': Score(precision=0.9855072463768116, recall=0.3487179487179487, fmeasure=0.5151515151515151), 'rougeL': Score(precision=0.6285714285714286, recall=0.22448979591836735, fmeasure=0.3308270676691729)}","{'rouge1': Score(precision=0.9444444444444444, recall=0.2602040816326531, fmeasure=0.408), 'rouge2': Score(precision=0.8301886792452831, recall=0.22564102564102564, fmeasure=0.3548387096774193), 'rougeL': Score(precision=0.8703703703703703, recall=0.23979591836734693, fmeasure=0.376)}"
55,Morgan Stanley,MS,"Morgan Stanley, a financial holding company, provides various financial products and services to corporations, governments, financial institutions, and individuals in the Americas, Europe, the Middle East, Africa, and Asia. It operates through Institutional Securities, Wealth Management, and Investment Management segments. The Institutional Securities segment offers capital raising and financial advisory services, including services related to the underwriting of debt, equity, and other securities, as well as advice on mergers and acquisitions, restructurings, real estate, and project finance. This segment also provides equity and fixed income products comprising sales, financing, prime brokerage, and market-making services; foreign exchange and commodities; corporate and commercial real estate loans, commercial mortgage and secured lending facilities, and financing for sales and trading customers, and asset-backed and mortgage lending; and wealth management services, investment, and research services. The Wealth Management segment offers financial advisor-led brokerage, custody, administrative, and investment advisory services; self-directed brokerage services; financial and wealth planning services; workplace services, including stock plan administration; annuity and insurance products; securities-based lending, residential real estate loans, and other lending products; banking; and retirement plan services to individual investors and small to medium-sized businesses and institutions. The Investment Management segment provides equity, fixed income, alternatives and solutions, and liquidity and overlay services to benefit/defined contribution plans, foundations, endowments, government entities, sovereign wealth funds, insurance companies, third-party fund sponsors, corporations, and individuals through institutional and intermediary channels. The company was founded in 1924 and is headquartered in New York, New York.","Morgan Stanley, a financial holding company, provides various financial products and services to corporations, governments, financial institutions, and individuals . It operates through Institutional Securities, Wealth Management, and Investment Management segments . It operates through Institutional Securities, Wealth Management, and Investment Management segments .","The Wealth Management segment offers financial advisor-led brokerage, custody, administrative, and investment advisory services; self-directed brokerage services; financial and wealth planning services; workplace services, including stock plan administration; annuity and insurance products; securities-based lending, residential real estate loans, and other lending products; banking; and retirement plan services to individual investors and small to medium-sized businesses and institutions.","{'rouge1': Score(precision=1.0, recall=0.24497991967871485, fmeasure=0.3935483870967742), 'rouge2': Score(precision=1.0, recall=0.24193548387096775, fmeasure=0.38961038961038963), 'rougeL': Score(precision=1.0, recall=0.24497991967871485, fmeasure=0.3935483870967742)}","{'rouge1': Score(precision=0.9512195121951219, recall=0.1566265060240964, fmeasure=0.2689655172413793), 'rouge2': Score(precision=0.85, recall=0.13709677419354838, fmeasure=0.23611111111111108), 'rougeL': Score(precision=0.926829268292683, recall=0.15261044176706828, fmeasure=0.2620689655172414)}"
56,Rtx Corporation,RTX,"RTX Corporation, an aerospace and defense company, provides systems and services for the commercial, military, and government customers in the United States and internationally. It operates through three segments: Collins Aerospace, Pratt & Whitney, and Raytheon. The Collins Aerospace Systems segment offers aerospace and defense products, and aftermarket service solutions for civil and military aircraft manufacturers and commercial airlines, as well as regional, business, and general aviation, defense, and commercial space operations. This segment also designs, produces, and supports cabin interior, including oxygen systems, food and beverage preparation, storage and galley systems, and lavatory and wastewater management systems; battlespace, test and training range systems, crew escape systems, and simulation and training solutions; information management services; and aftermarket services that include spare parts, overhaul and repair, engineering and technical support, training and fleet management solutions, and asset and information management services. Its Pratt & Whitney segment supplies aircraft engines for commercial, military, business jet, and general aviation customers; and produces, sells, and services military and commercial auxiliary power units. The Raytheon segment provides defensive and offensive threat detection, tracking, and mitigation capabilities for U.S., foreign government, and commercial customers. The company was formerly known as Raytheon Technologies Corporation and changed its name to RTX Corporation in July 2023. RTX Corporation was incorporated in 1934 and is headquartered in Arlington, Virginia.","RTX Corporation operates through three segments: Collins Aerospace, Pratt & Whitney, and Raytheon . It provides systems and services for commercial, military, and government customers in the United States and internationally . It operates through three segments: Collins Aerospace, Pratt & Whitney, and Raytheon .","This segment also designs, produces, and supports cabin interior, including oxygen systems, food and beverage preparation, storage and galley systems, and lavatory and wastewater management systems; battlespace, test and training range systems, crew escape systems, and simulation and training solutions; information management services; and aftermarket services that include spare parts, overhaul and repair, engineering and technical support, training and fleet management solutions, and asset and information management services.","{'rouge1': Score(precision=1.0, recall=0.3119266055045872, fmeasure=0.4755244755244756), 'rouge2': Score(precision=1.0, recall=0.3087557603686636, fmeasure=0.47183098591549294), 'rougeL': Score(precision=1.0, recall=0.3119266055045872, fmeasure=0.4755244755244756)}","{'rouge1': Score(precision=0.925, recall=0.16972477064220184, fmeasure=0.2868217054263566), 'rouge2': Score(precision=0.7435897435897436, recall=0.1336405529953917, fmeasure=0.2265625), 'rougeL': Score(precision=0.775, recall=0.14220183486238533, fmeasure=0.24031007751937983)}"
57,S&p Global Inc.,,"Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC. It invests in the fixed income markets of New York. The fund invests in municipal bonds, with a rating of Baa or higher. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. The fund was formerly known as Nuveen New York Dividend Advantage Municipal Fund. Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States.","Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC . The fund invests in municipal bonds, with a rating of Baa or higher .","Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States. Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio.","{'rouge1': Score(precision=1.0, recall=0.6106870229007634, fmeasure=0.7582938388625592), 'rouge2': Score(precision=0.9746835443037974, recall=0.5923076923076923, fmeasure=0.736842105263158), 'rougeL': Score(precision=0.575, recall=0.3511450381679389, fmeasure=0.4360189573459715)}","{'rouge1': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112), 'rouge2': Score(precision=0.9787234042553191, recall=0.35384615384615387, fmeasure=0.5197740112994351), 'rougeL': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112)}"
58,Blackstone Inc.,,"Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC. It invests in the fixed income markets of New York. The fund invests in municipal bonds, with a rating of Baa or higher. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. The fund was formerly known as Nuveen New York Dividend Advantage Municipal Fund. Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States.","Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC . The fund invests in municipal bonds, with a rating of Baa or higher .","Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States. Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio.","{'rouge1': Score(precision=1.0, recall=0.6106870229007634, fmeasure=0.7582938388625592), 'rouge2': Score(precision=0.9746835443037974, recall=0.5923076923076923, fmeasure=0.736842105263158), 'rougeL': Score(precision=0.575, recall=0.3511450381679389, fmeasure=0.4360189573459715)}","{'rouge1': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112), 'rouge2': Score(precision=0.9787234042553191, recall=0.35384615384615387, fmeasure=0.5197740112994351), 'rougeL': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112)}"
59,"Prologis, Inc.",,"Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC. It invests in the fixed income markets of New York. The fund invests in municipal bonds, with a rating of Baa or higher. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. The fund was formerly known as Nuveen New York Dividend Advantage Municipal Fund. Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States.","Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC . The fund invests in municipal bonds, with a rating of Baa or higher .","Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States. Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio.","{'rouge1': Score(precision=1.0, recall=0.6106870229007634, fmeasure=0.7582938388625592), 'rouge2': Score(precision=0.9746835443037974, recall=0.5923076923076923, fmeasure=0.736842105263158), 'rougeL': Score(precision=0.575, recall=0.3511450381679389, fmeasure=0.4360189573459715)}","{'rouge1': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112), 'rouge2': Score(precision=0.9787234042553191, recall=0.35384615384615387, fmeasure=0.5197740112994351), 'rougeL': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112)}"
60,News Corporation Class B,,"Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC. It invests in the fixed income markets of New York. The fund invests in municipal bonds, with a rating of Baa or higher. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. The fund was formerly known as Nuveen New York Dividend Advantage Municipal Fund. Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States.","Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund is co-managed by Nuveen Fund Advisors LLC and Nuveen Asset Management, LLC . The fund invests in municipal bonds, with a rating of Baa or higher .","Nuveen New York Quality Municipal Income Fund was formed on May 26, 1999 and is domiciled in the United States. Nuveen New York Quality Municipal Income Fund is a closed ended fixed income mutual fund launched by Nuveen Investments, Inc. The fund benchmarks the performance of its portfolio against the Standard & Poor's New York Municipal Bond Index and Standard & Poor's National Municipal Bond Index. It employs fundamental analysis, with bottom-up stock picking approach, to create its portfolio.","{'rouge1': Score(precision=1.0, recall=0.6106870229007634, fmeasure=0.7582938388625592), 'rouge2': Score(precision=0.9746835443037974, recall=0.5923076923076923, fmeasure=0.736842105263158), 'rougeL': Score(precision=0.575, recall=0.3511450381679389, fmeasure=0.4360189573459715)}","{'rouge1': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112), 'rouge2': Score(precision=0.9787234042553191, recall=0.35384615384615387, fmeasure=0.5197740112994351), 'rougeL': Score(precision=1.0, recall=0.366412213740458, fmeasure=0.5363128491620112)}"
61,"Nextra Energy, Inc.",NEE,"NextEra Energy, Inc., through its subsidiaries, generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America. The company generates electricity through wind, solar, nuclear,natural gas, and other clean energy. It also develops, constructs, and operates long-term contracted assets that consists of clean energy solutions, such as renewable generation facilities, battery storage projects, and electric transmission facilities; sells energy commodities; and owns, develops, constructs, manages and operates electric generation facilities in wholesale energy markets. The company had approximately 33,276 megawatts of net generating capacity; approximately 90,000 circuit miles of transmission and distribution lines; and 883 substations. It serves approximately 12 million people through approximately 5.9 million customer accounts in the east and lower west coasts of Florida. The company was formerly known as FPL Group, Inc. and changed its name to NextEra Energy, Inc. in 2010. NextEra Energy, Inc. was founded in 1925 and is headquartered in Juno Beach, Florida.","NextEra Energy, Inc. generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America . The company generates electricity through wind, solar, nuclear,natural gas, and other clean energy . It develops, constructs, and operates long-term contract assets that consist of clean energy solutions .","It also develops, constructs, and operates long-term contracted assets that consists of clean energy solutions, such as renewable generation facilities, battery storage projects, and electric transmission facilities; sells energy commodities; and owns, develops, constructs, manages and operates electric generation facilities in wholesale energy markets. The company had approximately 33,276 megawatts of net generating capacity; approximately 90,000 circuit miles of transmission and distribution lines; and 883 substations.","{'rouge1': Score(precision=1.0, recall=0.4339622641509434, fmeasure=0.6052631578947368), 'rouge2': Score(precision=1.0, recall=0.43037974683544306, fmeasure=0.6017699115044248), 'rougeL': Score(precision=1.0, recall=0.4339622641509434, fmeasure=0.6052631578947368)}","{'rouge1': Score(precision=1.0, recall=0.29559748427672955, fmeasure=0.4563106796116505), 'rouge2': Score(precision=0.9565217391304348, recall=0.27848101265822783, fmeasure=0.4313725490196078), 'rougeL': Score(precision=1.0, recall=0.29559748427672955, fmeasure=0.4563106796116505)}"
62,Danaher Corporation,DHR,"Danaher Corporation designs, manufactures, and markets professional, medical, industrial, and commercial products and services worldwide. The Biotechnology segments offers bioprocess technologies, consumables, and services that advance, accelerate, and integrate the development and manufacture of therapeutics; cell line and cell culture media development services; cell culture media, process liquids and buffers for manufacturing, chromatography resins, filtration technologies, aseptic fill finish; single-use hardware and consumables and services, such as the design and installation of full manufacturing suites; lab filtration, separation, and purification; lab-scale protein purification and analytical tools; reagents, membranes, and services; and healthcare filtration solutions. The Life Sciences segment provides mass spectrometers; flow cytometry, genomics, lab automation, centrifugation, liquid handling automation instruments, antibodies and reagents, and particle counting and characterization; microscopes; protein consumables; industrial filtration products; and genomic medicines, such as custom nucleic acid products, plasmid DNA, RNA, and proteins under the ABCAM, ALDEVRON, BECKMAN COULTER, IDT, LEICA MICROSYSTEMS, MOLECULAR DEVICES, PALL, PHENOMENEX and SCIEX brands. The Diagnostics segment offers chemistry, immunoassay, microbiology, and automation systems; and molecular, acute care, and pathology diagnostics products. This segment also provides clinical instruments, reagents, consumables, software, and services for hospitals, physicians' offices, reference laboratories, and other critical care settings. The company has a research  collaboration  with Stanford  University's Department  of  Bioengineering for cancer drug development. The company was formerly known as Diversified Mortgage Investors, Inc. and changed its name to Danaher Corporation in 1984. Danaher Corporation was founded in 1969 and is based in Washington, the District of Columbia.","The Life Sciences segment provides mass spectrometers, flow cytometry, microbiology, and automation systems . The Biotechnology segments offers bioprocess technologies, consumables, and services that advance, accelerate, and integrate the development and manufacture of therapeutics . The Biotechnology segments offers bioprocess technologies, consumables, and services that advance, accelerate, and integrate the development and manufacture of therapeutics .","The Life Sciences segment provides mass spectrometers; flow cytometry, genomics, lab automation, centrifugation, liquid handling automation instruments, antibodies and reagents, and particle counting and characterization; microscopes; protein consumables; industrial filtration products; and genomic medicines, such as custom nucleic acid products, plasmid DNA, RNA, and proteins under the ABCAM, ALDEVRON, BECKMAN COULTER, IDT, LEICA MICROSYSTEMS, MOLECULAR DEVICES, PALL, PHENOMENEX and SCIEX brands.","{'rouge1': Score(precision=1.0, recall=0.24596774193548387, fmeasure=0.3948220064724919), 'rouge2': Score(precision=1.0, recall=0.242914979757085, fmeasure=0.3908794788273615), 'rougeL': Score(precision=1.0, recall=0.24596774193548387, fmeasure=0.3948220064724919)}","{'rouge1': Score(precision=0.8679245283018868, recall=0.18548387096774194, fmeasure=0.30564784053156147), 'rouge2': Score(precision=0.6346153846153846, recall=0.13360323886639677, fmeasure=0.22073578595317725), 'rougeL': Score(precision=0.6037735849056604, recall=0.12903225806451613, fmeasure=0.21262458471760798)}"
63,Lowe's Companies Inc.,LOW,"Lowe's Companies, Inc., together with its subsidiaries, operates as a home improvement retailer in the United States. The company offers a line of products for construction, maintenance, repair, remodeling, and decorating. It also provides home improvement products, such as appliances, seasonal and outdoor living, lawn and garden, lumber, kitchens and bath, tools, paint, millwork, hardware, flooring, rough plumbing, building materials, décor, and electrical. In addition, the company offers installation services through independent contractors in various product categories; and extended protection plans and repair services. It sells its national brand-name merchandise and private brand products to professional customers, homeowners, renters, businesses, and government. The company also sells its products through Lowes.com website; and through mobile applications. Lowe's Companies, Inc. was founded in 1921 and is based in Mooresville, North Carolina.","Lowe's Companies, Inc., together with its subsidiaries, operates as a home improvement retailer in United States . The company offers a line of products for construction, maintenance, repair, remodeling, and decorating . It also provides home improvement products, such as appliances, seasonal and outdoor living .","It also provides home improvement products, such as appliances, seasonal and outdoor living, lawn and garden, lumber, kitchens and bath, tools, paint, millwork, hardware, flooring, rough plumbing, building materials, décor, and electrical. In addition, the company offers installation services through independent contractors in various product categories; and extended protection plans and repair services. It sells its national brand-name merchandise and private brand products to professional customers, homeowners, renters, businesses, and government.","{'rouge1': Score(precision=1.0, recall=0.5447761194029851, fmeasure=0.7053140096618358), 'rouge2': Score(precision=1.0, recall=0.5413533834586466, fmeasure=0.7024390243902439), 'rougeL': Score(precision=1.0, recall=0.5447761194029851, fmeasure=0.7053140096618358)}","{'rouge1': Score(precision=1.0, recall=0.3283582089552239, fmeasure=0.4943820224719101), 'rouge2': Score(precision=0.9767441860465116, recall=0.3157894736842105, fmeasure=0.4772727272727272), 'rougeL': Score(precision=1.0, recall=0.3283582089552239, fmeasure=0.4943820224719101)}"
64,Progressive Corporation,PGR,"The Progressive Corporation, an insurance holding company, provides personal and commercial auto, personal residential and commercial property, business related general liability, and other specialty property-casualty insurance products and related services in the United States. It operates in three segments: Personal Lines, Commercial Lines, and Property. The Personal Lines segment writes insurance for personal autos and recreational vehicles (RV). This segment's products include personal auto insurance; and special lines products, including insurance for motorcycles, ATVs, RVs, watercrafts, snowmobiles, and related products. The Commercial Lines segment provides auto-related liability and physical damage insurance, and business-related general liability and property insurance for autos, vans, and pick-up trucks used by small businesses, as well as non-fleet taxis, black-car services, and airport taxis; tractors, trailers, and straight trucks primarily used by regional general freight and expeditor-type businesses, and long-haul operators; dump trucks used by light contractors and heavy constructions; log trucks and garbage trucks used by dirt, sand and gravel, logging, garbage/debris removal, and coal-type businesses; and tow trucks and wreckers used in towing services and gas/service station businesses. The Property segment writes residential property insurance for homeowners, other property owners, and renters, as well as offers manufactured homes, personal umbrella insurance, and primary and excess flood insurance. The company offers policy issuance and claims adjusting services; acts as an agent to homeowners, general liability, workers' compensation insurance, and other products; and reinsurance services. It sells its products through independent insurance agencies, as well as through mobile applications and over the phone. The Progressive Corporation was founded in 1937 and is headquartered in Mayfield Village, Ohio.","The Progressive Corporation is an insurance holding company headquartered in Mayfield Village, Ohio . It provides personal and commercial auto, personal residential and commercial property, business related general liability . This segment writes insurance for motorcycles, ATVs, RVs, watercrafts, snowmobiles, and related products . It operates in three segments: Personal Lines, Commercial Lines, and Property .",,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","{'rouge1': Score(precision=1.0, recall=0.19047619047619047, fmeasure=0.32), 'rouge2': Score(precision=0.8627450980392157, recall=0.16176470588235295, fmeasure=0.2724458204334365), 'rougeL': Score(precision=0.7307692307692307, recall=0.1391941391941392, fmeasure=0.23384615384615381)}"
65,Pfizer Inc.,PFE,"Pfizer Inc. discovers, develops, manufactures, markets, distributes, and sells biopharmaceutical products in the United States, Europe, and internationally. The company offers medicines and vaccines in various therapeutic areas, including cardiovascular metabolic, migraine, and women's health under the Eliquis, Nurtec ODT/Vydura, Zavzpret, and the Premarin family brands; infectious diseases with unmet medical needs under the Prevnar family, Abrysvo, Nimenrix, FSME/IMMUN-TicoVac, and Trumenba brands; and COVID-19 prevention and treatment, and potential future mRNA and antiviral products under the Comirnaty and Paxlovid brands. It also provides medicines and vaccines in various therapeutic areas, such as biosimilars for chronic immune and inflammatory diseases under the Xeljanz, Enbrel, Inflectra, Litfulo, Velsipity, and Cibinqo brands; amyloidosis, hemophilia, endocrine diseases, and sickle cell disease under the Vyndaqel family, Oxbryta, BeneFIX, Somavert, Ngenla, and Genotropin brands; sterile injectable and anti-infective medicines under the Sulperazon, Medrol, Zavicefta, Zithromax, and Panzyga brands; and biologics, small molecules, immunotherapies, and biosimilars under the Ibrance, Xtandi, Inlyta, Bosulif, Mektovi, Padcev, Adcetris, Talzenna, Tukysa, Elrexfio, Tivdak, Lorbrena, and Braftovi brands. In addition, the company involved in the contract manufacturing business. It serves wholesalers, retailers, hospitals, clinics, government agencies, pharmacies, individual provider offices, retail pharmacies, and integrated delivery systems. The company has collaboration agreements with Bristol-Myers Squibb Company; Astellas Pharma US, Inc.; Merck KGaA; and BioNTech SE, as well as has strategic clinical collaboration with Acepodia Inc. for the development of antibody-cell conjugation-based cell therapies in autoimmune diseases. Pfizer Inc. was founded in 1849 and is headquartered in New York, New York.","Pfizer Inc. discovers, develops, manufactures, markets, distributes and sells biopharmaceutical products . It offers medicines and vaccines in various therapeutic areas, including cardiovascular metabolic, migraine, and women's health . The company serves wholesalers, retailers, hospitals, clinics, government agencies, pharmacies .",,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","{'rouge1': Score(precision=1.0, recall=0.1484375, fmeasure=0.2585034013605442), 'rouge2': Score(precision=0.8918918918918919, recall=0.12941176470588237, fmeasure=0.226027397260274), 'rougeL': Score(precision=0.9736842105263158, recall=0.14453125, fmeasure=0.2517006802721088)}"
